ETNIA,NACIMIENTO,PARALELO,GENERO,EDAD,CARGAS,ALGEBRA_L,COMUNICACION_P,ELECTRICIDAD,INTRODUCCION_A,TEORIA_D,REPROBO
1,0,0,1,19,0,0,1,0,0,0,0
1,1,0,1,19,0,1,1,1,1,1,1
1,1,0,0,25,1,0,0,0,0,0,0
1,0,0,1,21,1,0,0,0,0,0,0
1,1,0,0,33,0,1,1,1,0,1,0
1,0,0,1,20,0,1,1,1,1,1,1
1,0,0,1,19,0,0,1,0,1,1,1
1,0,1,1,19,0,1,1,1,1,1,1
1,1,1,1,20,0,1,0,0,0,0,0
1,0,0,1,19,0,1,1,1,1,1,0
1,0,0,1,19,0,1,0,1,0,0,0
1,0,0,1,21,0,0,1,0,0,0,0
1,0,1,0,22,0,0,0,0,0,0,0
0,1,1,1,29,0,0,0,0,0,0,0
1,0,0,1,20,0,0,1,0,0,0,0
1,0,0,1,19,0,0,0,0,0,0,0
1,1,1,1,22,0,1,1,1,1,1,1
1,0,1,1,20,0,0,0,0,0,0,0
1,1,1,1,21,0,1,1,1,1,1,1
1,1,0,1,19,0,0,1,1,1,1,0
1,0,1,0,20,0,1,1,1,0,1,0
1,1,1,1,21,0,0,0,0,0,1,0
1,1,0,1,19,0,1,1,1,1,1,1
1,1,1,1,27,0,1,1,1,1,1,1
1,0,1,1,25,0,0,1,0,1,0,0
1,0,0,1,21,0,0,1,0,0,1,0
1,1,1,0,22,0,0,0,0,0,0,0
1,0,0,1,20,0,0,0,0,0,0,0
1,1,0,1,19,0,1,1,1,1,1,1
1,0,1,1,19,0,1,1,1,1,1,1
1,1,1,1,19,0,0,0,0,0,0,0
1,0,0,1,20,0,1,1,1,1,1,0
1,1,0,0,20,0,1,1,1,1,1,0
1,0,1,1,21,0,1,1,0,1,0,0
1,1,0,0,31,0,0,0,1,1,0,0
1,1,0,1,19,0,1,1,1,1,1,1
1,1,0,0,20,0,1,1,1,1,1,0
1,0,1,1,19,0,0,0,0,0,0,0
1,1,1,1,20,0,1,0,0,0,0,0
1,0,1,1,19,0,1,1,1,1,1,1
1,1,1,1,26,0,1,1,1,1,1,1
1,1,0,1,25,0,0,1,0,0,0,0
1,0,0,1,19,0,0,0,0,0,0,0
1,0,0,1,24,0,0,0,0,0,0,0
1,0,1,0,21,1,1,0,1,0,0,1
1,0,0,1,20,0,1,1,1,0,0,0
1,1,0,1,23,0,1,1,1,1,1,1
1,1,0,1,24,0,0,0,0,0,0,0
1,0,0,1,30,0,0,1,1,1,0,0
1,1,1,1,19,0,0,0,1,1,1,0
1,0,1,1,19,0,1,1,1,1,1,1
1,1,1,1,19,0,1,1,1,0,0,1
1,0,1,0,20,0,1,0,1,1,0,0
1,0,1,1,21,0,1,1,1,0,0,1
1,0,1,1,19,0,0,0,1,0,0,0
1,0,1,1,23,0,0,1,0,0,1,0
1,0,0,1,18,0,0,0,0,0,0,0
1,0,1,1,20,0,0,0,0,0,0,0
0,0,1,1,22,0,1,1,0,1,1,0
1,1,0,0,24,1,0,1,1,1,0,0
1,1,1,1,20,0,0,0,0,0,0,0
1,0,0,1,21,0,1,1,1,1,1,0
1,0,0,0,19,0,1,1,1,1,1,1
1,0,1,0,19,0,0,0,0,0,0,0
1,0,1,1,18,0,1,1,1,1,1,1
1,1,0,0,19,0,0,1,1,0,1,0
1,1,1,1,19,0,1,0,0,0,0,0
1,0,1,1,23,0,0,1,1,0,0,1
1,0,1,0,21,0,0,1,0,0,0,0
1,0,0,1,21,0,1,1,1,1,1,1
1,1,1,0,20,0,1,1,1,1,1,1
1,0,0,1,19,0,1,0,0,1,0,0
1,1,0,0,19,0,1,1,1,1,0,0
1,0,0,1,24,0,1,1,1,1,1,1
1,1,0,1,18,0,1,0,0,1,0,0
1,1,1,0,20,0,0,1,0,0,0,0
1,1,0,1,21,0,1,1,1,0,1,0
1,1,0,1,19,0,0,0,0,0,0,0
1,0,1,1,18,0,1,0,0,1,0,0
1,0,0,1,22,0,1,1,1,1,0,0
1,0,1,0,19,0,1,1,1,1,1,1
1,0,1,0,20,0,1,1,0,1,0,0
1,1,0,1,20,0,1,0,1,0,0,0
1,0,1,1,19,0,0,0,0,1,0,0
1,1,1,1,20,0,0,1,1,1,1,1
1,1,0,1,19,0,1,1,1,1,1,1
1,0,1,0,19,0,1,0,0,0,0,0
1,0,1,1,19,0,1,1,1,1,1,1
1,1,0,1,21,0,1,1,1,1,1,1
1,1,1,0,19,0,1,0,0,1,0,0
1,0,1,1,18,0,1,1,1,1,1,1
1,1,0,1,20,0,1,1,1,1,1,1
1,0,0,0,19,0,1,1,1,1,1,1
1,0,0,1,18,0,0,0,0,0,0,0
1,0,0,1,21,0,0,0,0,0,0,0
1,0,1,1,19,0,0,0,0,0,0,0
1,1,1,1,19,0,1,1,1,1,1,1
1,0,0,1,22,0,0,0,0,0,0,0
1,0,0,1,19,0,0,0,0,0,0,0
1,1,1,1,19,0,0,0,0,0,0,0
1,0,0,1,19,0,1,0,1,0,0,0
